Frequency,# of Items,%
1,1450968,0.4822172
2,435886,0.1448631
3,218109,0.0724867
4,135150,0.0449160
5,93149,0.0309573
6,69996,0.0232626
7,53891,0.0179102
8,43851,0.0145735
9,36139,0.0120105
10,30916,0.0102747
11,26569,0.0088300
12,23275,0.0077353
13,19971,0.0066372
14,17907,0.0059512
15,15862,0.0052716
16,14313,0.0047568
17,13119,0.0043600
18,12199,0.0040542
19,11218,0.0037282
20,10230,0.0033999
21,9639,0.0032034
22,9001,0.0029914
23,8402,0.0027923
24,7819,0.0025986
25,7162,0.0023802
26,6741,0.0022403
27,6217,0.0020662
28,6016,0.0019994
29,5683,0.0018887
30,5382,0.0017887
31,5081,0.0016886
32,4866,0.0016172
33,4628,0.0015381
34,4437,0.0014746
35,4188,0.0013918
36,4072,0.0013533
37,3874,0.0012875
38,3611,0.0012001
39,3466,0.0011519
40,3306,0.0010987
41,3122,0.0010376
42,3154,0.0010482
43,2957,0.0009827
44,2842,0.0009445
45,2839,0.0009435
46,2647,0.0008797
47,2611,0.0008677
48,2446,0.0008129
49,2397,0.0007966
50,2271,0.0007547
51,2217,0.0007368
52,2159,0.0007175
53,2093,0.0006956
54,2002,0.0006653
55,1860,0.0006182
56,1879,0.0006245
57,1850,0.0006148
58,1757,0.0005839
59,1734,0.0005763
60,1724,0.0005730
61,1595,0.0005301
62,1599,0.0005314
63,1565,0.0005201
64,1473,0.0004895
65,1508,0.0005012
66,1474,0.0004899
67,1448,0.0004812
68,1345,0.0004470
69,1332,0.0004427
70,1320,0.0004387
71,1272,0.0004227
72,1238,0.0004114
73,1238,0.0004114
74,1214,0.0004035
75,1144,0.0003802
76,1112,0.0003696
77,1067,0.0003546
78,1112,0.0003696
79,984,0.0003270
80,977,0.0003247
81,965,0.0003207
82,999,0.0003320
83,952,0.0003164
84,949,0.0003154
85,914,0.0003038
86,929,0.0003087
87,881,0.0002928
88,841,0.0002795
89,821,0.0002729
90,834,0.0002772
91,768,0.0002552
92,793,0.0002635
93,761,0.0002529
94,761,0.0002529
95,778,0.0002586
96,729,0.0002423
97,721,0.0002396
98,736,0.0002446
99,704,0.0002340
100,732,0.0002433
101,659,0.0002190
102,660,0.0002193
103,684,0.0002273
104,625,0.0002077
105,588,0.0001954
106,601,0.0001997
107,648,0.0002154
108,579,0.0001924
109,563,0.0001871
110,558,0.0001854
111,557,0.0001851
112,510,0.0001695
113,588,0.0001954
114,529,0.0001758
115,554,0.0001841
116,534,0.0001775
117,509,0.0001692
118,570,0.0001894
119,501,0.0001665
120,483,0.0001605
121,460,0.0001529
122,492,0.0001635
123,443,0.0001472
124,496,0.0001648
125,454,0.0001509
126,438,0.0001456
127,429,0.0001426
128,434,0.0001442
129,423,0.0001406
130,442,0.0001469
131,443,0.0001472
132,403,0.0001339
133,421,0.0001399
134,425,0.0001412
135,390,0.0001296
136,367,0.0001220
137,389,0.0001293
138,353,0.0001173
139,412,0.0001369
140,350,0.0001163
141,375,0.0001246
142,386,0.0001283
143,345,0.0001147
144,356,0.0001183
145,405,0.0001346
146,331,0.0001100
147,352,0.0001170
148,331,0.0001100
149,326,0.0001083
150,296,0.0000984
151,306,0.0001017
152,310,0.0001030
153,332,0.0001103
154,367,0.0001220
155,319,0.0001060
156,318,0.0001057
157,281,0.0000934
158,292,0.0000970
159,277,0.0000921
160,249,0.0000828
161,263,0.0000874
162,267,0.0000887
163,307,0.0001020
164,276,0.0000917
165,284,0.0000944
166,271,0.0000901
167,268,0.0000891
168,269,0.0000894
169,221,0.0000734
170,243,0.0000808
171,260,0.0000864
172,253,0.0000841
173,239,0.0000794
174,241,0.0000801
175,245,0.0000814
176,228,0.0000758
177,224,0.0000744
178,239,0.0000794
179,248,0.0000824
180,242,0.0000804
181,223,0.0000741
182,251,0.0000834
183,219,0.0000728
184,222,0.0000738
185,212,0.0000705
186,223,0.0000741
187,221,0.0000734
188,201,0.0000668
189,233,0.0000774
190,218,0.0000725
191,220,0.0000731
192,200,0.0000665
193,188,0.0000625
194,195,0.0000648
195,194,0.0000645
196,184,0.0000612
197,174,0.0000578
198,195,0.0000648
199,208,0.0000691
200,188,0.0000625
201,185,0.0000615
202,209,0.0000695
203,200,0.0000665
204,188,0.0000625
205,196,0.0000651
206,167,0.0000555
207,163,0.0000542
208,192,0.0000638
209,145,0.0000482
210,164,0.0000545
211,186,0.0000618
212,165,0.0000548
213,170,0.0000565
214,185,0.0000615
215,169,0.0000562
216,161,0.0000535
217,168,0.0000558
218,158,0.0000525
219,178,0.0000592
220,151,0.0000502
221,167,0.0000555
222,152,0.0000505
223,153,0.0000508
224,163,0.0000542
225,155,0.0000515
226,161,0.0000535
227,170,0.0000565
228,133,0.0000442
229,157,0.0000522
230,143,0.0000475
231,173,0.0000575
232,166,0.0000552
233,147,0.0000489
234,162,0.0000538
235,144,0.0000479
236,137,0.0000455
237,145,0.0000482
238,147,0.0000489
239,126,0.0000419
240,128,0.0000425
241,143,0.0000475
242,127,0.0000422
243,117,0.0000389
244,112,0.0000372
245,132,0.0000439
246,130,0.0000432
247,115,0.0000382
248,120,0.0000399
249,121,0.0000402
250,131,0.0000435
251,123,0.0000409
252,103,0.0000342
253,110,0.0000366
254,126,0.0000419
255,117,0.0000389
256,117,0.0000389
257,125,0.0000415
258,114,0.0000379
259,138,0.0000459
260,115,0.0000382
261,107,0.0000356
262,108,0.0000359
263,106,0.0000352
264,109,0.0000362
265,117,0.0000389
266,108,0.0000359
267,99,0.0000329
268,90,0.0000299
269,121,0.0000402
270,101,0.0000336
271,109,0.0000362
272,107,0.0000356
273,111,0.0000369
274,105,0.0000349
275,119,0.0000395
276,106,0.0000352
277,94,0.0000312
278,103,0.0000342
279,107,0.0000356
280,89,0.0000296
281,112,0.0000372
282,107,0.0000356
283,98,0.0000326
